height,upper_arm_length,arm_circum,hip_circum
168.9,37.5,26.7,92
156.5,NA,NA,NA
153.5,34.4,32.2,103.2
154.5,34.3,41.6,121.6
156.8,34,25.9,94.8
172.6,37.6,26.9,104
171,38.4,28.7,101.9
171.9,39.1,30,100.8
162.1,36.8,32,103.5
167.9,35.4,23.6,87.3
